SEAM slot,SEAM pin,Signal ID,Pigtail slot,Pigtail pin,GBTx ID,Conn to PT,DCB slot,DCB pin,Conn to other DCBs
2,H37,EC_ADC_2,,,,False,,,False
2,H38,EC_ADC_3,1,B39,None,True,,,False
2,H41,EC_ADC_4,,,,False,,,False
2,H42,EC_ADC_5,1,J12,None,True,,,False
2,H45,EC_ADC_6,,,,False,,,False
2,H46,EC_ADC_7,0,J12,None,True,,,False
2,D1,EC_ADC_REF13,,,,False,,,False
2,D2,EC_ADC_REF14,,,,False,,,False
2,E1,EC_ADC_REF15,,,,False,,,False
2,H9,EC_HYB_i2C_SCL_0,,,,False,,,False
2,H13,EC_HYB_i2C_SCL_1,1,G33,None,True,,,False
2,H17,EC_HYB_i2C_SCL_2,,,,False,,,False
2,H21,EC_HYB_i2C_SCL_3,1,H08,None,True,,,False
2,H25,EC_HYB_i2C_SCL_4,,,,False,,,False
2,H49,EC_HYB_i2C_SCL_5,0,H08,None,True,,,False
2,H10,EC_HYB_i2C_SDA_0,,,,False,,,False
2,H14,EC_HYB_i2C_SDA_1,1,F34,None,True,,,False
2,H18,EC_HYB_i2C_SDA_2,,,,False,,,False
2,H22,EC_HYB_i2C_SDA_3,1,I09,None,True,,,False
2,H26,EC_HYB_i2C_SDA_4,,,,False,,,False
2,H50,EC_HYB_i2C_SDA_5,0,I09,None,True,,,False
2,C1,EC_RESET_GPIO_0,,,,False,,,False
2,H27,EC_RESET_GPIO_1,1,F39,None,True,,,False
2,H11,EC_RESET_GPIO_2,,,,False,,,False
2,H15,EC_RESET_GPIO_3,1,I03,None,True,,,False
2,H19,EC_RESET_GPIO_4,,,,False,,,False
2,H23,EC_RESET_GPIO_5,0,I03,None,True,,,False
2,G23,EC_SEC_CLK_ELK_N,,,,False,3,G19,True
2,G24,EC_SEC_CLK_ELK_P,,,,False,3,G20,True
2,G15,EC_SEC_DIN_ELK_N,,,,False,3,G11,True
2,G16,EC_SEC_DIN_ELK_P,,,,False,3,G12,True
2,G7,EC_SEC_DOUT_ELK_N,,,,False,3,G3,True
2,G8,EC_SEC_DOUT_ELK_P,,,,False,3,G4,True
2,C2,GND,,,,False,,,False
2,E49,GND,,,,False,,,False
2,H3,GND,,,,False,,,False
2,H4,GND,,,,False,,,False
2,H7,GND,,,,False,,,False
2,H8,GND,,,,False,,,False
2,H12,GND,,,,False,,,False
2,H16,GND,,,,False,,,False
2,H20,GND,,,,False,,,False
2,H24,GND,,,,False,,,False
2,B3,GND,,,,False,,,False
2,B4,GND,,,,False,,,False
2,B7,GND,,,,False,,,False
2,B8,GND,,,,False,,,False
2,B11,GND,,,,False,,,False
2,B12,GND,,,,False,,,False
2,B15,GND,,,,False,,,False
2,B16,GND,,,,False,,,False
2,B19,GND,,,,False,,,False
2,B20,GND,,,,False,,,False
2,B23,GND,,,,False,,,False
2,B24,GND,,,,False,,,False
2,B27,GND,,,,False,,,False
2,B28,GND,,,,False,,,False
2,B31,GND,,,,False,,,False
2,B32,GND,,,,False,,,False
2,B35,GND,,,,False,,,False
2,B36,GND,,,,False,,,False
2,B39,GND,,,,False,,,False
2,B40,GND,,,,False,,,False
2,B43,GND,,,,False,,,False
2,B44,GND,,,,False,,,False
2,B47,GND,,,,False,,,False
2,B48,GND,,,,False,,,False
2,C5,GND,,,,False,,,False
2,C6,GND,,,,False,,,False
2,C9,GND,,,,False,,,False
2,C10,GND,,,,False,,,False
2,C13,GND,,,,False,,,False
2,C14,GND,,,,False,,,False
2,C17,GND,,,,False,,,False
2,C18,GND,,,,False,,,False
2,C21,GND,,,,False,,,False
2,C22,GND,,,,False,,,False
2,C25,GND,,,,False,,,False
2,C26,GND,,,,False,,,False
2,C29,GND,,,,False,,,False
2,C30,GND,,,,False,,,False
2,C33,GND,,,,False,,,False
2,C34,GND,,,,False,,,False
2,C37,GND,,,,False,,,False
2,C38,GND,,,,False,,,False
2,C41,GND,,,,False,,,False
2,C42,GND,,,,False,,,False
2,C45,GND,,,,False,,,False
2,C46,GND,,,,False,,,False
2,D3,GND,,,,False,,,False
2,D4,GND,,,,False,,,False
2,D7,GND,,,,False,,,False
2,D8,GND,,,,False,,,False
2,D11,GND,,,,False,,,False
2,D12,GND,,,,False,,,False
2,D15,GND,,,,False,,,False
2,D16,GND,,,,False,,,False
2,D19,GND,,,,False,,,False
2,D20,GND,,,,False,,,False
2,D23,GND,,,,False,,,False
2,D24,GND,,,,False,,,False
2,D27,GND,,,,False,,,False
